"","replication","arrivals","mean_wait_time_doctor","scenario","interarrival_time"
"665",65,7,3.29782961768857,7,7
"666",66,4,0,7,7
"667",67,6,2.10595007679596,7,7
"668",68,8,0.488492031465285,7,7
"669",69,5,0.492073482811261,7,7
"670",70,4,0,7,7
"671",71,5,0,7,7
"672",72,9,0,7,7
"673",73,1,0,7,7
"674",74,5,0,7,7
"675",75,6,0,7,7
"676",76,8,0.897708186295432,7,7
"677",77,3,0,7,7
"678",78,6,0.500611694459637,7,7
"679",79,6,0,7,7
"680",80,2,0,7,7
"681",81,5,0,7,7
"682",82,2,0,7,7
"683",83,2,0,7,7
"684",84,5,0,7,7
"685",85,2,0,7,7
"686",86,6,0,7,7
"687",87,7,0.24267134767501,7,7
"688",88,3,0,7,7
"689",89,4,0,7,7
"690",90,8,0.41219558638744,7,7
"691",91,4,0,7,7
"692",92,5,0.431001376666522,7,7
"693",93,2,0,7,7
"694",94,4,0,7,7
"695",95,5,0.202783808269885,7,7
"696",96,5,0,7,7
"697",97,4,0,7,7
"698",98,4,0,7,7
"699",99,6,0,7,7
"700",100,7,0,7,7
