run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time
3,2822,2.2707213250886746,10.279073645447232,0.47962212016289624,0.317855931517869,12.549794970535862,1.7567222920065577,0,,6,7.0
4,2919,0.9723530291662327,9.8066598101482,0.4731329662666383,0.14078861568136078,10.768462293311588,1.5601875144812758,0,,6,7.0
5,2917,1.3447812307971745,10.184620538344346,0.49124549300381537,0.1945797048727856,11.529401769141536,1.668316183884232,0,,6,7.0
6,2915,1.369191616480567,9.720294030018987,0.4684712891995171,0.19797587113297882,11.091470951851292,1.60338973873153,0,,6,7.0
7,2762,1.4146866347146594,9.990698412334924,0.4562272058783354,0.19381768279176037,11.408343383655154,1.5624993004267667,0,,6,7.0
8,2885,1.3303664330017848,9.94031310808058,0.4741473936735653,0.1903822995639955,11.26433645936187,1.6128244805846914,0,,6,7.0
9,2845,1.0780531251562588,10.062145810498487,0.4727854881774828,0.15213596929908516,11.127381250257532,1.5704924338315336,0,,6,7.0
10,2991,1.2370784157216228,10.179431438382085,0.5021072507874017,0.1835169105485153,11.396986142333056,1.689838662910721,1,0.8364536504159332,6,7.0
11,2821,1.415232759041928,9.788954955468164,0.4579026701404283,0.19803430621315868,11.204187714510075,1.5717423166344435,0,,6,7.0
12,2858,1.4511207278968132,10.087126116627351,0.4766700800482963,0.20571939684172086,11.538246844524162,1.6357296369866097,0,,6,7.0
13,2874,1.359077474713143,9.863662180923985,0.46876209229066257,0.19374943761535582,11.225190748592798,1.6000357144873436,0,,6,7.0
14,2925,1.1374936680834866,10.037051790088036,0.4852743676889198,0.16503814380675588,11.168176671394777,1.6208612468735153,0,,6,7.0
