run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time,number_of_doctors
2,4054,1.0956943666808354,10.087097054500568,0.5075207954004608,0.22033457155377514,11.172895022161683,2.250417753155619,0,,4,5,4
3,4013,1.2136948178372255,9.976294136062485,0.4962563818898397,0.2415951043641263,11.187593050896059,2.2266206319234825,0,,4,5,4
4,3941,0.7217175743932015,10.022256536746408,0.4899336188666522,0.14108576193867098,10.743340440886707,2.100820237405279,0,,4,5,4
5,4078,0.7737315956652933,10.012961127625521,0.5067276486864557,0.15672927903115882,10.782638949784285,2.183639873776984,0,,4,5,4
6,4058,1.0591585169027484,9.993199558298596,0.5029300721220472,0.21319768162655522,11.051417452170703,2.224917970114744,0,,4,5,4
7,3872,0.9864394687750102,10.046771695002025,0.4815417262379689,0.1894590090821845,11.02300623999858,2.11562591403406,0,,4,5,4
8,3992,0.7577124763237246,9.996389359725816,0.4948928768918589,0.15003909749426134,10.756225790512499,2.1296106050616976,0,,4,5,4
9,3956,0.9161712644723751,10.184734734154645,0.49984620287928594,0.1800311805005845,11.095304574165604,2.1794159920177294,0,,4,5,4
10,4095,0.8361593375307966,10.156849754640572,0.5157506544011669,0.16984486543594307,10.995139328935355,2.23284748304061,0,,4,5,4
11,3972,0.9013202881962973,9.794164455174922,0.48236873435641575,0.17758155678153237,10.696725389007986,2.1070564942071983,0,,4,5,4
12,4057,0.7456386263094498,9.839401391527339,0.49553646486855973,0.1501680780050854,10.583415764706306,2.1323139374793247,0,,4,5,4
13,3991,0.9764387985706909,10.128614970177248,0.5012067050671252,0.19330194668133074,11.09043922398726,2.198128766949833,0,,4,5,4
14,4118,0.9546575035612473,10.01001514072059,0.5114404429357111,0.1955980962444621,10.952698127126437,2.241359867987307,0,,4,5,4
0,4048,0.17666781379160726,9.908492340625259,0.39792273407336043,0.03547377530894971,10.082757324970009,2.0250874456757515,0,,5,5,5
1,4038,0.240211197282887,9.975666717922994,0.3995869949721433,0.04811373088434017,10.21142224645347,2.0460487057450547,0,,5,5,5
2,4054,0.25853410432553453,10.087097054500568,0.40600650008227857,0.05198895133609707,10.335321551384684,2.0820214517474884,0,,5,5,5
3,4013,0.3070851068408296,9.976294136062485,0.3970051055118715,0.06112760584088538,10.280757365395425,2.0461531334002405,0,,5,5,5
4,3941,0.13276815329751132,10.022256536746408,0.3919544141866271,0.02595432996753433,10.154284400284288,1.985726400900671,0,,5,5,5
5,4078,0.1590035934920152,10.012961127625521,0.4052718947734274,0.0321635245168868,10.16745838711861,2.0585229983840216,0,,5,5,5
6,4058,0.2498104176702112,9.993199558298596,0.4023440576976379,0.05028425966794231,10.241869858706165,2.0620045481561298,0,,5,5,5
7,3872,0.23043058309423586,10.046771695002025,0.385233380990375,0.04425730246730562,10.266411149443924,1.9704242074191813,0,,5,5,5
8,3992,0.17253586005015856,9.996389359725816,0.39591430151348733,0.034164838954376636,10.170902550180731,2.0137363465218123,0,,5,5,5
9,3956,0.2303554841459296,10.184734734154645,0.3998434794601614,0.045296113086074126,10.409315389090656,2.044513510386881,0,,5,5,5
10,4095,0.17786764834089475,10.156849754640572,0.4126005235209332,0.036129366069244245,10.33636502120499,2.0991319836739106,0,,5,5,5
11,3972,0.2248743817161727,9.794164455174922,0.38589498748513273,0.04430560735003164,10.020109136039197,1.9737805447756958,0,,5,5,5
12,4057,0.17105342336565862,9.839401391527339,0.39638813336181505,0.03442280449377366,10.008688898744037,2.0163634713028484,0,,5,5,5
13,3991,0.22911852174192493,10.128614970177248,0.400946234858265,0.04535773910079476,10.347350660894392,2.0500889133921207,0,,5,5,5
